source_id,display_name,manufacturer_name,country,base_url,enabled,domain_status,notes
SRC_ROWAN,Rowan,Rowan,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_SIRDAR,Sirdar,Sirdar,UK and Ireland,https://sirdar.com,True,verified,Official domain/catalogue verified during YarnEngine v0.1-v0.5 data work.
SRC_HAYFIELD,Hayfield,Hayfield,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_STYLECRAFT,Stylecraft,Stylecraft,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_KING_COLE,King Cole,King Cole,UK and Ireland,https://www.kingcole.com,True,verified,Official domain/catalogue verified during YarnEngine v0.1-v0.5 data work.
SRC_JAMES_C_BRETT,James C. Brett,James C. Brett,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_CYGNET_YARNS,Cygnet Yarns,Cygnet Yarns,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_WEST_YORKSHIRE_SPINNERS,West Yorkshire Spinners,West Yorkshire Spinners,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_LAXTONS,Laxtons,Laxtons,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_FYBERSPATES,Fyberspates,Fyberspates,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_THE_FIBRE_CO,The Fibre Co.,The Fibre Co.,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_BAA_RAM_EWE,Baa Ram Ewe,Baa Ram Ewe,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_BLACKER_YARNS,Blacker Yarns,Blacker Yarns,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_JOHN_ARBON_TEXTILES,John Arbon Textiles,John Arbon Textiles,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_GARTHENOR_ORGANIC,Garthenor Organic,Garthenor Organic,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_JAMIESON_S_OF_SHETLAND,Jamieson's of Shetland,Jamieson's of Shetland,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_JAMIESON_AND_SMITH,Jamieson & Smith,Jamieson & Smith,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_NEW_LANARK_SPINNING_COMPANY,New Lanark Spinning Company,New Lanark Spinning Company,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_UIST_WOOL,Uist Wool,Uist Wool,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_ERIKA_KNIGHT,Erika Knight,Erika Knight,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_WOOL_AND_THE_GANG,Wool and the Gang,Wool and the Gang,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_DEBBIE_BLISS,Debbie Bliss,Debbie Bliss,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_WENDY,Wendy,Wendy,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_PETER_PAN,Peter Pan,Peter Pan,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_EMU_YARNS,Emu Yarns,Emu Yarns,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_BRITISH_BREEDS,British Breeds,British Breeds,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_TOFT,TOFT,TOFT,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_EDEN_COTTAGE_YARNS,Eden Cottage Yarns,Eden Cottage Yarns,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_LIFE_IN_THE_LONG_GRASS,Life in the Long Grass,Life in the Long Grass,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_HEDGEHOG_FIBRES,Hedgehog Fibres,Hedgehog Fibres,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_TOWNHOUSE_YARNS,Townhouse Yarns,Townhouse Yarns,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_DONEGAL_YARNS,Donegal Yarns,Donegal Yarns,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_STUDIO_DONEGAL,Studio Donegal,Studio Donegal,UK and Ireland,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_SANDNES_GARN,Sandnes Garn,Sandnes Garn,Norway,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_RAUMA_GARN,Rauma Garn,Rauma Garn,Norway,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_HILLESV_G_ULLVAREFABRIKK,Hillesvåg Ullvarefabrikk,Hillesvåg Ullvarefabrikk,Norway,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_DALE_GARN,Dale Garn,Dale Garn,Norway,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_GJESTAL_GARN,Gjestal Garn,Gjestal Garn,Norway,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_DU_STORE_ALPAKKA,Du Store Alpakka,Du Store Alpakka,Norway,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_B_STMOR,Bæstmor,Bæstmor,Norway,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_VIKING_GARN,Viking Garn,Viking Garn,Norway,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
SRC_HOUSE_OF_YARN,House of Yarn,House of Yarn,Norway,,False,needs_verification,Entity carried from the original manufacturer/brand seed list; official current domain must be verified before enabling.
